,SUT,Defined Schemas,Distinct Used Schemas,Properties,Used Properties,Distinct Used Properties,Properties Per Schema
0,taxamo_1,97,80,559,469,189,5.762886597938144
1,azure_healthcareapis-healthcare-apis_2018-08-20-preview,21,20,49,42,36,2.3333333333333335
2,apisetu_sainikwelfarepud_3_0_0,2,0,17,4,4,8.5
3,amadeus_amadeus-branded-fares-upsell_1_0_1,44,3,90,12,10,2.0454545454545454
4,azure_apimanagement-apimapisByTags_2018-06-01-preview,0,0,0,0,0,0.0
5,sportsdata_mlb-v3-stats_1_0,17,9,753,522,263,44.294117647058826
6,sportsdata_nba-v3-scores_1_0,15,2,387,57,57,25.8
7,ticketmaster_publish_v2,64,43,255,210,126,3.984375
8,api_sell-analytics_1_2_0,22,22,68,68,54,3.090909090909091
9,azure_automation-variable_2015-10-31,7,7,27,27,10,3.857142857142857
10,phila_pollingplaces_1_0,1,1,10,10,10,10.0
11,azure_datacatalog_2016-03-30,8,7,23,17,16,2.875
12,walmart_price_1_0_0,10,0,72,26,16,7.2
13,apisetu_hpsssb_3_0_0,2,0,17,4,4,8.5
14,azure_network-bastionHost_2019-04-01,5,5,15,15,12,3.0
15,azure_azsadmin-farms_2015-12-01-preview,6,6,54,54,49,9.0
16,interzoid_getweatherzip_1_0_0,0,0,0,0,0,0.0
17,azure_machinelearningservices-modelManagement_2019-08-01,54,29,205,147,93,3.7962962962962963
18,azure_sql-advisors_2015-05-01-preview,9,9,52,52,48,5.777777777777778
19,onsched_consumer_v1,70,65,763,753,312,10.9
20,azure_mariadb-QueryPerformanceInsights_2018-06-01,13,13,41,41,25,3.1538461538461537
21,azure_security-discoveredSecuritySolutions_2015-06-01-preview,3,3,10,10,8,3.3333333333333335
22,azure_resourcegraph_2018-09-01-preview,23,19,55,47,34,2.391304347826087
23,apisetu_dittripura_3_0_0,2,0,85,72,4,42.5
24,gamesparks_game-details_v2,35,29,117,104,84,3.342857142857143
25,evemarketer_1_0_1,6,2,36,9,6,6.0
26,azure_azsadmin-Backup_2016-05-01,5,3,15,8,8,3.0
27,interzoid_getglobalnumberinfo_1_0_0,0,0,0,0,0,0.0
28,miataru_1_0_0,12,12,25,25,19,2.0833333333333335
29,rapidapi_spellcheckpro_1_0_0,0,0,0,0,0,0.0
30,callcontrol_2015-11-01,5,5,44,44,39,8.8
31,apisetu_kotakgeneralinsurance_3_0_0,2,0,37,24,4,18.5
32,gisgraphy_4_0_0,9,9,195,195,148,21.666666666666668
33,adyen_AccountService_3,74,74,285,285,155,3.8513513513513513
34,apisetu_ucobank_3_0_0,2,0,17,4,4,8.5
35,rapidapi_dynamicdocs_1_0,0,0,0,0,0,0.0
36,shotstack_v1,29,21,118,81,60,4.068965517241379
37,apisetu_hsbte_3_0_0,2,0,17,4,4,8.5
38,apisetu_transporthp_3_0_0,4,2,46,33,17,11.5
39,googleapis_verifiedaccess_v2,4,4,10,10,10,2.5
40,azure_containerservices-managedClusters_2017-08-31,25,7,60,12,11,2.4
41,azure_monitor-operations_API_2015-04-01,2,2,4,4,4,2.0
42,azure_applicationinsights-webTestLocations_API_2015-05-01,2,2,3,3,3,1.5
43,redhat_catalog_inventory_1_0_0,41,29,233,197,78,5.682926829268292
44,bikewise_v2,0,0,0,0,0,0.0
45,azure_mixedreality_2019-02-28-preview,13,13,25,25,21,1.9230769230769231
46,hubapi_analytics_v3,3,1,18,6,6,6.0
47,hillbillysoftware_shinobi_v1,34,12,199,61,42,5.852941176470588
48,googleapis_libraryagent_v1,4,4,10,10,8,2.5
49,o2_mobility_1_2_0,3,3,9,9,9,3.0
50,apisetu_transportnl_3_0_0,4,2,46,33,17,11.5
51,trashnothing_1_3,15,9,292,270,123,19.466666666666665
52,telematicssdk_1_0_0,0,0,0,0,0,0.0
53,googleapis_fcmdata_v1beta1,7,7,24,24,24,3.4285714285714284
54,azure_hdinsight-configurations_2015-03-01-preview,2,2,7,7,3,3.5
55,azure_automation-jobSchedule_2015-10-31,7,7,26,26,13,3.7142857142857144
56,apisetu_transportga_3_0_0,4,2,46,33,17,11.5
57,azure_automation-account_2015-10-31,17,17,65,65,32,3.823529411764706
58,azure_sql-dataWarehouseUserActivities_2017-03-01-preview,2,2,2,2,2,1.0
59,apisetu_revenueodisha_3_0_0,2,0,21,8,4,10.5
60,meraki_0_0_0-streaming,0,0,0,0,0,0.0
61,azure_azsadmin-CommerceAdmin_2015-06-01-preview,4,3,14,9,9,3.5
62,apisetu_edistrictandaman_3_0_0,2,0,61,48,4,30.5
63,azure_sql-backupLongTermRetentionPolicies_2014-04-01,3,3,5,5,5,1.6666666666666667
64,peoplefinderspro_1_0_0,5,0,3,3,3,0.6
65,azure_resourcehealth_2015-01-01,7,5,21,13,11,3.0
66,hubapi_crm_v3,20,16,76,55,34,3.8
67,firmalyzer_iotvas_1_0,15,7,71,30,30,4.733333333333333
68,apisetu_dhsekerala_3_0_0,2,0,17,4,4,8.5
69,azure_automation-dscNode_2018-01-15,15,15,107,107,62,7.133333333333334
70,ebay_sell-marketing_v1_14_0,127,127,487,487,192,3.8346456692913384
71,azure_azsadmin-ProductPackage_2019-01-01,7,4,11,8,8,1.5714285714285714
72,nytimes_article_search_1_0_0,1,0,21,1,1,21.0
73,azure_network-virtualRouter_2019-07-01,6,6,75,75,20,12.5
74,azure_applicationinsights-webTests_API_2015-05-01,6,5,22,17,17,3.6666666666666665
75,azure_sql-syncMembers_2015-05-01-preview,7,7,28,28,22,4.0
76,wikipathways_1_0,0,0,0,0,0,0.0
77,amadeus_amadeus-location-score_1_0_2,5,2,11,5,4,2.2
78,azure_network-natGateway_2019-02-01,4,4,13,13,13,3.25
79,interzoid_getemailinfo_1_0_0,0,0,0,0,0,0.0
80,twilio_twilio_autopilot_v1_1_42_0,16,16,209,209,74,13.0625
81,azure_web-logicAppsManagementClient_2016-06-01,40,29,107,72,47,2.675
82,twilio_twilio_conversations_v1_1_42_0,61,40,563,531,146,9.229508196721312
83,azure_monitor-activityLogAlerts_API_2017-03-01-preview,11,10,22,17,15,2.0
84,blazemeter_4,12,6,14,0,0,1.1666666666666667
85,openindex_1_0_0,10,10,40,40,29,4.0
