,SUT,CLI_Index,ARI_Index,Described Operations Rate,Described Parameters Rate,Described Property Rate,Described Operations
0,taxamo_1,17.61210773567178,12.650055851341477,0.0,1.0,0.8855098389982111,0
1,azure_healthcareapis-healthcare-apis_2018-08-20-preview,17.782579933847845,12.806065499945653,1.0,1.0,0.8571428571428571,9
2,apisetu_sainikwelfarepud_3_0_0,20.71741007194245,15.16297580117724,1.0,1.0,0.11764705882352941,1
3,amadeus_amadeus-branded-fares-upsell_1_0_1,22.473918417799748,17.902846985178215,0.0,1.0,0.5666666666666667,0
4,azure_apimanagement-apimapisByTags_2018-06-01-preview,23.684627249357323,17.52123488527088,1.0,1.0,0.0,1
5,sportsdata_mlb-v3-stats_1_0,36.40178060413355,28.382181419198822,0.058823529411764705,1.0,0.0,2
6,sportsdata_nba-v3-scores_1_0,35.16870129870131,27.199977522477525,0.25,1.0,0.0,5
7,ticketmaster_publish_v2,15.365478468899525,10.874567384370017,1.0,1.0,0.596078431372549,10
8,api_sell-analytics_1_2_0,22.97358372456964,18.62732319047978,1.0,1.0,1.0,4
9,azure_automation-variable_2015-10-31,17.41480075901328,12.595509518944056,1.0,1.0,0.8888888888888888,5
10,phila_pollingplaces_1_0,21.093551912568305,15.510719885958657,0.0,1.0,1.0,0
11,azure_datacatalog_2016-03-30,19.34827109266943,14.082881610311645,1.0,1.0,0.9130434782608695,6
12,walmart_price_1_0_0,17.063348095659872,12.5862366576091,1.0,1.0,0.4305555555555556,3
13,apisetu_hpsssb_3_0_0,17.573333333333327,12.64897233201581,1.0,1.0,0.11764705882352941,1
14,azure_network-bastionHost_2019-04-01,18.90295358649789,13.7020697913103,1.0,1.0,0.8666666666666667,5
15,azure_azsadmin-farms_2015-12-01-preview,17.92090909090909,13.536943413729134,1.0,1.0,0.9444444444444444,8
16,interzoid_getweatherzip_1_0_0,22.54722222222222,16.767147435897435,1.0,1.0,0.0,1
17,azure_machinelearningservices-modelManagement_2019-08-01,16.331196084429482,11.64907676768992,1.0,1.0,0.8390243902439024,23
18,azure_sql-advisors_2015-05-01-preview,25.153924914675766,18.882815889972974,1.0,1.0,0.9038461538461539,9
19,onsched_consumer_v1,23.20696336365872,17.55294089586949,1.0,0.9338235294117647,0.00655307994757536,38
