,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
0,taxamo_1,30,22,30,30,0,28,False,3,36,0,2,36,0,0,13,10,0,0,0,False,0,0,0,30,36,10,118,"{""200"": 36, ""400"": 36, ""401"": 36}","{""limit"": 3, ""offset"": 3}"
1,azure_healthcareapis-healthcare-apis_2018-08-20-preview,6,6,0,6,0,6,True,0,9,0,0,0,0,0,0,3,0,0,6,False,0,0,0,6,9,3,31,"{""200"": 8, ""404"": 1, ""201"": 1, ""202"": 1, ""204"": 1}",{}
2,apisetu_sainikwelfarepud_3_0_0,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""200"": 1, ""400"": 1, ""401"": 1, ""404"": 1, ""500"": 1, ""502"": 1, ""503"": 1, ""504"": 1}",{}
3,amadeus_amadeus-branded-fares-upsell_1_0_1,1,1,1,1,0,1,False,0,1,0,0,0,0,0,0,1,0,0,1,True,0,0,0,1,1,1,2,"{""200"": 1, ""400"": 1}",{}
4,azure_apimanagement-apimapisByTags_2018-06-01-preview,1,1,0,1,0,1,True,0,1,0,0,0,0,0,0,0,0,0,1,False,0,0,0,1,1,0,8,"{""200"": 1}",{}
5,sportsdata_mlb-v3-stats_1_0,34,34,1,34,1,34,False,0,34,0,0,34,0,0,0,0,0,0,34,True,0,0,0,34,34,0,71,"{""200"": 34}",{}
6,sportsdata_nba-v3-scores_1_0,20,20,1,20,1,20,False,0,20,0,0,20,0,0,0,0,0,0,20,True,0,0,0,20,20,0,32,"{""200"": 20}",{}
7,ticketmaster_publish_v2,10,10,10,10,3,10,True,0,10,0,0,10,0,0,0,10,0,0,0,True,0,0,0,10,10,10,25,"{""200"": 10}",{}
8,api_sell-analytics_1_2_0,4,0,4,4,0,4,False,0,4,0,0,4,0,0,0,0,0,0,4,False,0,0,0,4,4,0,9,"{""200"": 4, ""400"": 4, ""404"": 2, ""409"": 1, ""500"": 4, ""204"": 1}",{}
9,azure_automation-variable_2015-10-31,2,2,0,2,0,2,True,0,5,0,0,0,0,0,0,2,0,0,2,False,0,0,0,2,5,2,26,"{""200"": 5, ""201"": 1}",{}
