,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
0,taxamo_1,30,4,36,30,33,899,145,24.97222222222222,4.611111111111111,0.904320987654321,0.0,0.0,"{""boolean"": {""num"": 91, ""format"": []}, ""string"": {""num"": 732, ""format"": []}, ""number"": {""num"": 74, ""format"": []}, ""object"": {""num"": 10, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 24, ""post"": 10, ""put"": 1, ""delete"": 1}"
1,azure_healthcareapis-healthcare-apis_2018-08-20-preview,6,5,9,9,9,36,12,4.0,6.666666666666667,3.111111111111111,0.0,0.0,"{""string"": {""num"": 26, ""format"": []}, ""object"": {""num"": 3, ""format"": []}}","{""get"": 5, ""post"": 1, ""put"": 1, ""delete"": 1, ""patch"": 1}"
2,apisetu_sainikwelfarepud_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
3,amadeus_amadeus-branded-fares-upsell_1_0_1,1,1,1,0,1,96,63,96.0,3.0,0.0,0.7708333333333334,0.010416666666666666,"{""string"": {""num"": 61, ""format"": [""date-time""]}, ""object"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 13, ""format"": []}, ""integer"": {""num"": 7, ""format"": []}, ""number"": {""num"": 1, ""format"": []}}","{""post"": 1}"
4,azure_apimanagement-apimapisByTags_2018-06-01-preview,1,1,1,1,1,8,8,8.0,9.0,0.0,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 1}"
5,sportsdata_mlb-v3-stats_1_0,34,1,34,34,34,71,12,2.088235294117647,3.088235294117647,0.6686851211072664,0.0,0.4647887323943662,"{""string"": {""num"": 36, ""format"": []}}","{""get"": 34}"
6,sportsdata_nba-v3-scores_1_0,20,1,20,20,20,32,7,1.6,2.6,0.54,0.0,0.625,"{""string"": {""num"": 12, ""format"": []}}","{""get"": 20}"
7,ticketmaster_publish_v2,10,2,10,5,10,288,64,28.8,3.7,0.61,0.027777777777777776,0.20833333333333334,"{""string"": {""num"": 155, ""format"": [""date-time"", ""date""]}, ""object"": {""num"": 10, ""format"": []}, ""boolean"": {""num"": 50, ""format"": []}, ""integer"": {""num"": 44, ""format"": []}, ""number"": {""num"": 16, ""format"": []}}","{""post"": 7, ""patch"": 3}"
8,api_sell-analytics_1_2_0,4,1,4,3,3,9,9,2.25,2.0,1.0,0.0,0.0,"{""string"": {""num"": 9, ""format"": []}}","{""get"": 4}"
9,azure_automation-variable_2015-10-31,2,4,5,5,5,31,9,6.2,9.8,0.15999999999999998,0.0,0.0,"{""string"": {""num"": 30, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 2, ""put"": 1, ""delete"": 1, ""patch"": 1}"
10,phila_pollingplaces_1_0,1,1,1,1,1,3,3,3.0,0.0,0.0,0.0,0.0,"{""integer"": {""num"": 2, ""format"": []}, ""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
