,SUT,Defined Schemas,Distinct Used Schemas,Properties,Used Properties,Distinct Used Properties,Properties Per Schema
0,Barrier_API_1,1,1,3,3,3,3.0
1,Dee,19,18,64,61,39,3.3684210526315788
2,Swagger_Fleet_Management_API_1,3,3,9,9,5,3.0
3,Customers1_API_1,1,0,3,0,0,3.0
4,Demo_Conference_API_1,1,1,0,0,0,0.0
5,API_Design_v1,8,8,22,22,20,2.75
6,Death_Notifications_API_-_Knab_3,4,3,34,32,31,8.5
7,Captura_Manual_1,14,8,176,57,49,12.571428571428571
8,API_Blue_v0,4,4,63,63,49,15.75
9,CoreApi_1,1,1,2,2,2,2.0
10,Survey_microservice_1,9,7,17,12,11,1.8888888888888888
11,Data_Hub_REST_API_for_Subscription_Plan_1,2,2,7,7,7,3.5
12,Cordoniq_Core_API_v1,85,84,351,349,141,4.129411764705883
13,avisoSinistro_1,8,6,52,40,39,6.5
14,Bootcamp_API_task_solution_2,4,3,12,10,9,3.0
15,InMoment_English_Dictionary_Robot_Challenge_1,1,1,12,12,12,12.0
16,ArtAPI_-_LAB-3_Grupo_2_1,3,3,13,13,9,4.333333333333333
17,DCSA_OpenAPI_specification_for_responding_to_an_issuance_request,2,2,11,11,11,5.5
18,Common_Services_1,0,0,0,0,0,0.0
19,app_1,0,0,0,0,0,0.0
20,cph_keyBlockNumber_1,1,1,4,4,4,4.0
21,Sambandha_API_1,7,7,27,27,11,3.857142857142857
22,API_Visanet_eCommerce_v2,21,21,128,128,105,6.095238095238095
23,Book_Management_1,5,5,19,19,13,3.8
24,API_FACTURACION_TECM_1,2,1,4,1,1,2.0
25,API_Connector_1,5,5,11,11,10,2.2
26,CodeBlues_Microservice_1,12,6,15,9,5,1.25
27,Black_Diamond_-_Rate_Quote_API_3,19,13,87,69,39,4.578947368421052
28,API1_0,0,0,0,0,0,0.0
29,API_Caritas_MTY_3,0,0,0,0,0,0.0
30,Customer_Engagement_Tool_APIs_1,3,3,14,14,14,4.666666666666667
31,MarsGate_1,3,3,14,14,13,4.666666666666667
32,活動履歴情報取得API_1,1,0,23,0,0,23.0
33,Devoxx_Mobile_API_v1,4,2,19,7,6,4.75
34,Comunicação_core_-_periféricos_1,82,13,102,26,21,1.2439024390243902
35,Doclogix_Cloud_API_1,5,5,25,25,18,5.0
36,Replan_API_multiuser_v1,9,9,23,23,18,2.5555555555555554
37,Anna_Karenina_1,6,6,31,31,22,5.166666666666667
38,Auchan_Ecommerce_API_0,12,9,44,39,33,3.6666666666666665
39,Api_para_transferencias_inmediatas_0,7,7,24,24,18,3.4285714285714284
40,Bank_of_Georgia_Payments_1,4,4,10,10,9,2.5
41,Courses_2023-10-25,1,1,0,0,0,0.0
42,Bulk_Roaming_Management_API_1,0,0,0,0,0,0.0
43,cph_sendTransaction_1,1,1,4,4,4,4.0
44,CDC_Digital_1,13,12,35,34,26,2.6923076923076925
45,Auction_1,5,3,17,10,10,3.4
46,CovidVaccinationAPI_1,5,5,30,30,12,6.0
47,Capitl_Group_API_1,4,0,16,1,1,4.0
48,AssetWorx_API_4,21,16,279,253,179,13.285714285714286
49,CalculatorAPI_0,3,3,4,4,4,1.3333333333333333
50,Client_API_1,2,2,76,76,20,38.0
51,Coegil_Public_API_1,0,0,0,0,0,0.0
52,Documentação_API_Notificação_2,14,13,47,41,19,3.357142857142857
53,Koywe's_API_REST_documentation_1,12,10,131,121,47,10.916666666666666
54,Calculador_de_Puntaje_de_Comunidad_-_Servicio_2_-_G5_0,6,5,15,14,12,2.5
55,APIBR-SD00099-CorrespondentBank-OI00001_v1,15,15,40,40,33,2.6666666666666665
56,Autoblogging_API_1,4,4,40,40,27,10.0
57,AMP_TA_integration_with_third-party_1C_1,6,6,36,36,30,6.0
58,Comparatio_EDI_1,16,15,91,85,55,5.6875
59,Run_a_Policy_1,2,2,2,2,2,1.0
60,ShoppingCart_Service_1,2,1,7,4,4,3.5
61,Casalar_Dropshipping_API_1,5,0,54,11,3,10.8
62,Blackbird_Analytics_1,12,12,26,26,21,2.1666666666666665
63,Dictionaries_API_(UAT)_1,4,4,15,15,13,3.75
64,pecmen_1,3,3,22,22,18,7.333333333333333
65,BPDM_Certificate_Management_0,10,9,66,61,28,6.6
66,Automation_Config_UI_1,50,49,159,154,68,3.18
67,Catchup_API_v4,0,0,0,0,0,0.0
68,Api_Channel_Bussines_Banking_User_Unlock_1,8,8,28,28,15,3.5
69,Mobile_RoA_Applications_1,6,5,34,33,26,5.666666666666667
70,APIMRiesgo_1,4,4,15,15,6,3.75
71,Expedientes_Service_1,8,7,27,24,21,3.375
72,Challenge_v1,8,8,25,25,8,3.125
73,Admin_Service_API_1,3,3,13,13,9,4.333333333333333
74,Simple_Inventory_API_-_Q_1,2,2,7,7,6,3.5
75,Petstore_from_Swagger_on_Lambda_1,6,6,31,31,22,5.166666666666667
76,Cacao_API_0,2,2,11,11,11,5.5
