,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
0,Barrier_API_1,1,1,1,1,1,1,False,0,1,0,0,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,0,"{""200"": 1}",{}
1,Dee,36,36,25,36,2,25,True,0,46,7,12,46,0,0,0,24,0,0,36,True,0,0,0,36,46,24,46,"{""200"": 46, ""409"": 2, ""400"": 6, ""404"": 4, ""401"": 4}",{}
2,Swagger_Fleet_Management_API_1,3,1,3,3,0,3,False,1,3,0,0,3,0,0,0,0,0,0,3,True,0,0,0,3,3,0,5,"{""200"": 3, ""500"": 3, ""404"": 1}","{""page"": 1, ""per_page"": 1}"
3,Customers1_API_1,1,1,1,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,0,"{""200"": 1, ""400"": 1}",{}
4,Demo_Conference_API_1,12,12,12,12,4,12,False,0,12,0,0,12,0,0,0,0,0,0,12,True,0,0,0,12,12,1,16,"{""200"": 12}",{}
5,API_Design_v1,4,5,3,5,0,3,True,2,8,2,4,8,0,4,7,2,2,0,5,True,0,0,0,5,8,2,27,"{""200"": 7, ""400"": 7, ""401"": 7, ""403"": 7, ""404"": 7, ""500"": 7, ""201"": 1}","{""limit"": 2, ""offset"": 2}"
6,Death_Notifications_API_-_Knab_3,5,5,5,5,0,5,False,0,6,0,0,0,0,0,0,4,0,0,5,True,0,0,0,5,6,4,12,"{""200"": 6, ""401"": 6}",{}
7,Captura_Manual_1,9,9,8,9,0,9,False,0,9,0,0,9,0,0,0,7,0,0,0,True,0,0,0,9,9,7,16,"{""200"": 9, ""400"": 9, ""401"": 9, ""403"": 9, ""404"": 9, ""500"": 9}",{}
8,API_Blue_v0,0,4,8,8,0,8,False,4,8,0,8,8,0,0,0,0,0,0,8,True,0,0,0,8,8,0,44,"{""200"": 8}","{""page"": 4}"
9,CoreApi_1,1,1,1,1,0,1,False,0,1,0,0,1,0,0,0,1,0,0,1,True,0,0,0,1,1,1,1,"{""201"": 1}",{}
10,Survey_microservice_1,4,4,1,4,0,4,True,0,6,0,0,6,0,0,0,3,1,0,4,True,0,0,0,4,6,3,7,"{""200"": 4, ""201"": 2, ""405"": 1, ""400"": 3, ""404"": 3, ""403"": 1}",{}
11,Data_Hub_REST_API_for_Subscription_Plan_1,1,1,1,0,0,1,True,0,1,0,0,0,0,0,0,0,0,0,1,True,0,0,0,1,1,0,1,"{""200"": 1, ""401"": 1}",{}
12,Cordoniq_Core_API_v1,31,30,5,31,0,29,False,0,46,0,2,46,0,0,0,20,0,0,31,False,0,0,0,31,46,20,180,"{""200"": 38, ""201"": 8, ""400"": 45, ""401"": 44, ""500"": 45, ""404"": 42, ""403"": 1}",{}
13,avisoSinistro_1,1,1,0,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,2,"{""200"": 1, ""404"": 1}",{}
14,Bootcamp_API_task_solution_2,5,5,3,5,0,4,True,0,7,0,1,7,0,0,0,3,0,0,5,True,0,0,0,5,7,3,8,"{""200"": 7, ""400"": 6, ""404"": 5}",{}
15,InMoment_English_Dictionary_Robot_Challenge_1,9,9,9,9,0,9,False,0,9,0,0,9,0,0,0,0,0,0,9,False,0,0,0,9,9,0,0,"{""200"": 9}",{}
16,ArtAPI_-_LAB-3_Grupo_2_1,8,8,6,8,0,8,False,3,19,0,0,19,0,0,0,6,0,0,8,False,0,0,0,8,19,8,42,"{""200"": 6, ""400"": 11, ""204"": 8, ""404"": 13, ""201"": 5}","{""limit"": 3, ""offset"": 3, ""page"": 3}"
17,DCSA_OpenAPI_specification_for_responding_to_an_issuance_request,1,1,1,1,0,1,True,0,1,0,0,0,0,0,0,1,0,0,0,True,0,0,0,1,1,1,2,"{""204"": 1}",{}
18,Common_Services_1,4,4,4,4,0,3,False,0,4,0,1,4,4,0,0,0,0,0,4,False,0,4,0,4,4,0,0,"{""200"": 4}",{}
19,app_1,1,1,1,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,True,0,0,0,1,1,0,0,"{""200"": 1, ""400"": 1}",{}
20,cph_keyBlockNumber_1,0,1,1,1,0,1,True,0,1,0,0,1,0,0,0,1,0,0,1,False,0,0,0,1,1,1,1,"{""200"": 1}",{}
21,Sambandha_API_1,4,4,2,4,0,4,False,0,8,0,0,8,0,0,0,4,0,0,4,True,0,0,0,4,8,4,10,"{""200"": 8, ""400"": 8}",{}
22,API_Visanet_eCommerce_v2,12,12,5,12,0,8,False,0,12,1,4,12,0,0,0,3,0,0,12,True,0,0,0,12,12,3,20,"{""200"": 12, ""401"": 12, ""500"": 12}",{}
23,Book_Management_1,7,7,1,7,0,3,True,0,11,4,4,11,0,0,0,3,0,0,7,True,0,0,0,7,11,3,16,"{""200"": 8, ""405"": 3, ""400"": 3, ""404"": 2}",{}
24,API_FACTURACION_TECM_1,1,1,1,1,0,1,True,0,1,0,0,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,7,"{""200"": 1, ""500"": 1}",{}
25,API_Connector_1,4,4,0,4,0,4,True,0,4,0,0,4,0,0,0,0,0,0,4,True,0,0,0,4,4,0,13,"{""200"": 4}",{}
