,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
0,Barrier_API_1,1,1,1,0,0,0,0,0.0,2.0,0.0,0.0,0.0,{},"{""get"": 1}"
1,Dee,36,4,46,21,36,111,43,2.4130434782608696,2.8260869565217392,1.0567107750472593,0.0,0.0,"{""object"": {""num"": 24, ""format"": []}, ""string"": {""num"": 100, ""format"": []}, ""integer"": {""num"": 11, ""format"": []}}","{""get"": 14, ""post"": 17, ""put"": 12, ""delete"": 3}"
2,Swagger_Fleet_Management_API_1,3,1,3,3,3,5,4,1.6666666666666667,2.3333333333333335,0.8888888888888888,0.0,0.4,"{""integer"": {""num"": 4, ""format"": []}, ""string"": {""num"": 1, ""format"": []}}","{""get"": 3}"
3,Customers1_API_1,1,1,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,{},"{""get"": 1}"
4,Demo_Conference_API_1,12,2,12,12,12,16,5,1.3333333333333333,2.25,0.6875,0.0,0.0,"{""integer"": {""num"": 12, ""format"": []}, ""string"": {""num"": 5, ""format"": []}}","{""get"": 11, ""post"": 1}"
5,API_Design_v1,5,5,8,6,7,33,14,4.125,1.375,0.484375,0.0,0.2424242424242424,"{""string"": {""num"": 31, ""format"": [""date-time""]}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""options"": 1, ""get"": 4, ""post"": 1, ""put"": 1, ""delete"": 1}"
6,Death_Notifications_API_-_Knab_3,5,3,6,6,6,17,12,2.8333333333333335,2.3333333333333335,0.5555555555555555,0.0,0.0,"{""string"": {""num"": 12, ""format"": [""date""]}, ""object"": {""num"": 4, ""format"": []}}","{""get"": 2, ""put"": 2, ""post"": 2}"
7,Captura_Manual_1,9,2,9,2,9,96,48,10.666666666666666,3.3333333333333335,0.4444444444444444,0.0,0.0520833333333333,"{""object"": {""num"": 7, ""format"": []}, ""string"": {""num"": 74, ""format"": []}, ""integer"": {""num"": 22, ""format"": []}}","{""post"": 7, ""get"": 2}"
8,API_Blue_v0,8,1,8,8,8,44,35,5.5,1.5,0.25,0.0,0.0,"{""number"": {""num"": 23, ""format"": []}, ""string"": {""num"": 17, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}}","{""get"": 8}"
9,CoreApi_1,1,1,1,0,1,2,2,2.0,2.0,0.0,1.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 2, ""format"": []}}","{""post"": 1}"
10,Survey_microservice_1,4,3,6,4,5,14,9,2.3333333333333335,2.1666666666666665,0.8055555555555555,0.0,0.0714285714285714,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 11, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 3, ""post"": 2, ""patch"": 1}"
11,Data_Hub_REST_API_for_Subscription_Plan_1,1,1,1,1,1,1,1,1.0,2.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
12,Cordoniq_Core_API_v1,31,4,46,44,46,599,139,13.021739130434783,3.3043478260869565,1.7334593572778834,0.0,0.0567612687813021,"{""object"": {""num"": 20, ""format"": []}, ""boolean"": {""num"": 321, ""format"": []}, ""string"": {""num"": 179, ""format"": [""date-time"", ""binary""]}, ""integer"": {""num"": 26, ""format"": []}, ""number"": {""num"": 7, ""format"": []}}","{""post"": 9, ""get"": 17, ""put"": 11, ""delete"": 9}"
13,avisoSinistro_1,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.5,"{""integer"": {""num"": 1, ""format"": []}, ""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
14,Bootcamp_API_task_solution_2,5,5,7,5,7,22,11,3.142857142857143,2.0,0.8571428571428571,0.0,0.0,"{""object"": {""num"": 3, ""format"": []}, ""string"": {""num"": 20, ""format"": [""uuid"", ""password""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 2, ""get"": 2, ""put"": 1, ""delete"": 1, ""patch"": 1}"
15,InMoment_English_Dictionary_Robot_Challenge_1,9,2,9,0,0,0,0,0.0,1.0,0.0,0.0,0.0,{},"{""post"": 8, ""get"": 1}"
