,SUT,Defined Schemas,Distinct Used Schemas,Properties,Used Properties,Distinct Used Properties,Properties Per Schema
0,gitlab-issues,64,27,840,258,171,13.125
1,bibliothek,11,10,49,47,17,4.454545454545454
2,google-calendar,33,27,187,175,115,5.666666666666667
3,gitlab-commit,65,24,855,220,162,13.153846153846153
4,ocvn,41,33,209,193,120,5.097560975609756
5,genome-nexus,66,63,437,411,308,6.621212121212121
6,gitlab-groups,64,11,840,209,126,13.125
7,Locations,1,1,1,1,1,1.0
8,proxyprint,23,15,121,85,73,5.260869565217392
9,session-service,2,2,5,5,5,2.5
10,emb-project,20,20,64,64,34,3.2
11,spotify,68,9,441,89,41,6.485294117647059
12,restcountries,0,0,0,0,0,0.0
13,person,6,6,27,27,18,4.5
14,market,13,13,65,65,38,5.0
15,youtube,186,186,956,956,479,5.139784946236559
16,google-custom-search,3,3,29,29,23,9.666666666666666
17,gestaohospital-rest,6,5,38,32,25,6.333333333333333
18,ohsome,16,11,43,36,19,2.6875
19,cwa-verfication,9,8,24,23,12,2.6666666666666665
20,scs,0,0,0,0,0,0.0
21,catwatch,12,8,85,61,47,7.083333333333333
22,ncs,1,1,2,2,2,2.0
23,travels,23,23,81,81,31,3.5217391304347827
24,Route,10,10,50,50,44,5.0
25,springboot,5,1,12,2,2,2.4
26,pay-publicapi,44,43,231,229,91,5.25
27,google-analytics,57,54,505,490,144,8.859649122807017
28,omdb,2,2,34,34,32,17.0
29,languageTool,0,0,0,0,0,0.0
30,google-drive,29,28,242,234,154,8.344827586206897
31,news,1,1,6,6,6,6.0
32,owasp,2,2,15,15,14,7.5
33,user,11,11,71,71,41,6.454545454545454
34,petstore,8,6,34,27,20,4.25
35,gitlab-repository,73,17,879,152,128,12.04109589041096
36,bitbucket_server,39,33,147,114,68,3.769230769230769
37,TimeZone,0,0,0,0,0,0.0
38,google-fitness,22,22,85,85,61,3.8636363636363638
39,toggle,5,5,20,20,12,4.0
40,erc20,10,10,22,22,13,2.2
41,springbatch,8,8,31,31,24,3.875
42,spree,62,41,258,192,116,4.161290322580645
43,fdic,8,0,10,0,0,1.25
44,gitlab-projects,64,20,832,328,130,13.0
45,station_service,5,5,15,15,14,3.0
46,reservations-api,6,6,18,18,9,3.0
47,Elevations,1,1,1,1,1,1.0
48,VAmPI,0,0,0,0,0,0.0
49,Imagery,0,0,0,0,0,0.0
50,features-service,8,4,18,18,11,2.25
51,gitlab-branch,73,16,879,140,124,12.04109589041096
