,SUT,A1-1,A1-2,A1-3,A1-4,A2-1,A3-1,A3-2,A4-1,B1-1,B1-2,Operations with Problem,B2-1,C1-1,C1-2,C1-3,C2-1,C2-2,D1-1,D1-2,In Host,D1-3,D3-1,D3-2,Paths,Operations,Body Operations,Parameters,Status Codes,Page Param
0,gitlab-issues,21,6,21,21,18,20,False,4,27,1,1,0,0,0,0,3,8,0,21,True,0,0,0,21,27,6,240,"{""200"": 15, ""201"": 11, ""204"": 1}","{""page"": 4, ""per_page"": 4, ""created_after"": 3, ""created_before"": 3}"
1,bibliothek,8,6,8,8,7,8,True,0,8,0,0,8,0,0,0,0,0,0,0,False,0,0,1,8,8,0,16,"{""200"": 8}",{}
2,google-calendar,22,22,6,22,6,5,False,0,37,7,32,37,0,0,37,19,0,0,22,True,0,0,0,22,37,19,680,"{""200"": 37}",{}
3,gitlab-commit,13,11,13,13,12,13,False,1,15,0,0,0,0,0,0,1,1,0,13,True,0,0,0,13,15,6,118,"{""200"": 9, ""201"": 6}","{""page"": 1, ""per_page"": 1}"
4,ocvn,129,129,46,129,8,89,True,0,258,8,80,258,0,0,0,8,0,0,129,False,0,0,0,129,258,8,4978,"{""200"": 258, ""401"": 258, ""403"": 258, ""404"": 258, ""201"": 129}",{}
5,genome-nexus,20,21,13,21,0,21,True,0,23,0,1,23,0,0,6,10,0,0,21,False,0,0,0,21,23,10,44,"{""200"": 23}",{}
6,gitlab-groups,11,7,11,11,10,10,False,5,17,0,1,0,0,0,2,0,1,0,11,True,0,0,0,11,17,2,149,"{""200"": 11, ""201"": 3, ""202"": 1, ""204"": 2}","{""page"": 5, ""per_page"": 5}"
7,Locations,5,5,0,5,1,4,True,0,5,1,1,5,0,0,5,0,0,0,5,True,0,0,0,5,5,0,38,"{""200"": 5}",{}
8,proxyprint,78,79,68,69,6,69,True,0,115,3,10,115,0,0,0,20,0,0,78,False,0,0,0,79,115,20,68,"{""200"": 115, ""401"": 115, ""403"": 115, ""404"": 92, ""204"": 23, ""201"": 44}",{}
9,session-service,5,5,5,5,1,4,True,0,8,0,1,8,0,0,0,3,0,0,5,False,0,0,0,5,8,3,22,"{""200"": 8, ""401"": 8, ""403"": 8, ""404"": 7, ""201"": 3, ""204"": 1}",{}
10,emb-project,40,40,31,40,1,22,True,0,60,18,18,60,0,0,0,25,0,0,40,False,0,0,0,40,60,25,64,"{""200"": 60, ""401"": 60, ""403"": 60, ""404"": 46, ""201"": 25, ""204"": 14}",{}
11,spotify,8,3,8,8,0,1,True,4,13,6,12,0,0,0,0,6,0,0,8,True,0,0,0,8,13,6,38,"{""200"": 12, ""201"": 4}","{""limit"": 4, ""offset"": 4}"
12,restcountries,22,22,22,22,8,22,True,0,22,0,0,0,0,0,0,0,0,0,0,False,0,0,0,22,22,0,34,"{""200"": 22}",{}
13,person,6,6,5,6,0,6,True,0,12,0,0,12,0,0,0,4,0,0,6,False,0,0,0,6,12,4,8,"{""200"": 10, ""201"": 4, ""401"": 12, ""403"": 12, ""404"": 9, ""204"": 3}",{}
14,market,10,10,8,10,0,10,True,0,13,0,0,13,0,0,0,4,11,0,10,False,0,0,0,10,13,4,17,"{""200"": 11, ""401"": 13, ""403"": 13, ""404"": 12, ""201"": 5, ""204"": 1}",{}
15,youtube,39,39,15,39,1,33,False,0,76,6,14,76,0,0,76,31,0,0,0,False,0,0,0,39,76,31,1996,"{""200"": 76}",{}
16,google-custom-search,2,2,2,2,0,0,False,0,2,2,2,2,0,0,2,0,0,0,0,False,0,0,0,2,2,0,106,"{""200"": 2}",{}
17,gestaohospital-rest,12,4,9,13,0,13,True,0,20,0,2,20,0,0,0,8,0,0,0,False,0,0,0,13,20,8,35,"{""200"": 20, ""401"": 20, ""403"": 20, ""404"": 18, ""201"": 8, ""204"": 2}",{}
18,ohsome,122,122,28,122,3,122,True,0,244,0,0,244,0,0,244,0,0,0,122,True,0,0,0,122,244,0,3098,"{""200"": 244, ""400"": 244, ""401"": 244, ""404"": 244, ""405"": 244, ""413"": 244, ""500"": 244, ""501"": 244, ""503"": 244}",{}
19,cwa-verfication,5,5,4,5,1,5,True,0,5,0,0,5,0,0,1,4,0,0,0,False,0,0,0,5,5,4,8,"{""201"": 3, ""400"": 5, ""500"": 5, ""200"": 2, ""404"": 1}",{}
20,scs,11,11,11,11,3,11,True,0,11,0,0,11,0,0,0,0,0,0,11,False,0,0,0,11,11,0,26,"{""200"": 11, ""401"": 11, ""403"": 11, ""404"": 11}",{}
21,catwatch,17,17,17,16,0,15,True,3,23,1,2,19,0,0,0,2,0,0,17,False,0,0,0,17,23,2,34,"{""200"": 23, ""401"": 23, ""403"": 23, ""404"": 19, ""201"": 4, ""204"": 4}","{""limit"": 3, ""offset"": 3}"
22,ncs,6,6,6,6,6,6,True,0,6,0,0,6,0,0,0,0,0,0,6,False,0,0,0,6,6,0,14,"{""200"": 6, ""401"": 6, ""403"": 6, ""404"": 6}",{}
23,travels,10,10,8,10,1,10,True,1,13,0,0,13,0,0,0,6,0,0,0,False,0,0,0,10,13,6,44,"{""200"": 13, ""201"": 6, ""401"": 13, ""403"": 13, ""404"": 12, ""204"": 1}","{""offset"": 1, ""paged"": 1}"
24,Route,14,14,0,14,0,14,True,0,14,0,0,14,0,0,14,6,0,0,14,True,0,0,0,14,14,6,120,"{""200"": 14}",{}
25,springboot,6,6,6,6,0,6,True,0,13,0,0,13,0,0,0,3,0,0,6,False,0,0,0,6,13,3,3,"{""200"": 12, ""401"": 13, ""403"": 13, ""404"": 9, ""201"": 3, ""204"": 4}",{}
26,pay-publicapi,13,13,5,13,0,10,False,4,16,0,3,0,0,0,0,4,10,0,0,True,0,0,0,13,16,4,46,"{""200"": 10, ""401"": 15, ""404"": 10, ""500"": 16, ""201"": 2, ""400"": 6, ""204"": 4, ""409"": 2, ""202"": 1, ""412"": 1}","{""page"": 4}"
27,google-analytics,43,43,5,43,0,40,False,0,88,3,3,88,0,0,88,42,0,0,43,True,0,0,0,43,88,42,1560,"{""200"": 88}",{}
28,omdb,0,1,1,1,0,1,True,1,1,0,0,1,0,0,0,0,0,0,1,False,0,0,0,1,1,0,9,"{""200"": 1, ""401"": 1}","{""page"": 1}"
29,languageTool,2,2,2,2,0,2,True,0,2,0,0,2,0,0,0,0,0,0,2,True,0,0,0,2,2,1,1,"{""200"": 2}",{}
30,google-drive,28,28,8,28,0,21,False,0,48,2,7,48,0,0,48,16,0,0,28,True,0,0,0,28,48,18,889,"{""200"": 48}",{}
31,news,4,4,4,4,0,4,True,0,7,0,0,7,0,0,0,2,0,0,4,False,0,0,0,4,7,3,9,"{""200"": 7, ""401"": 7, ""403"": 7, ""404"": 6, ""201"": 3, ""204"": 1}",{}
32,owasp,4,4,4,4,0,4,True,0,10,0,0,10,0,0,0,4,0,0,4,False,0,0,0,4,10,4,10,"{""200"": 10}",{}
33,user,10,10,7,10,0,10,True,0,22,0,0,22,0,0,0,5,0,0,10,False,0,0,0,10,22,5,18,"{""200"": 22, ""401"": 22, ""403"": 22, ""404"": 15, ""201"": 9, ""204"": 7}",{}
34,petstore,13,13,7,13,0,10,False,0,19,3,3,15,0,0,0,6,0,0,13,True,0,0,0,13,19,7,24,"{""200"": 12, ""400"": 10, ""404"": 6, ""405"": 4}",{}
35,gitlab-repository,9,8,9,9,8,8,False,1,10,0,1,7,0,0,0,0,1,0,9,True,1,0,0,9,10,1,102,"{""200"": 8, ""201"": 2}","{""per_page"": 1}"
36,bitbucket_server,23,23,2,23,0,22,True,10,32,0,1,32,0,0,0,7,6,0,23,False,0,0,0,23,32,7,194,"{""200"": 25, ""400"": 15, ""401"": 27, ""404"": 22, ""201"": 3, ""409"": 3, ""204"": 5}","{""limit"": 10}"
37,TimeZone,3,4,0,4,0,3,True,0,4,1,2,4,0,0,4,0,0,0,4,True,0,0,0,4,4,0,20,"{""200"": 4}",{}
38,google-fitness,7,7,0,7,0,6,False,2,13,0,1,13,0,0,13,5,0,0,7,True,0,0,0,7,13,5,326,"{""200"": 13}","{""limit"": 2}"
39,toggle,8,8,0,8,3,8,True,0,16,0,0,16,0,0,0,7,0,0,8,False,0,0,0,8,16,7,16,"{""200"": 16, ""401"": 9, ""400"": 13}",{}
40,erc20,13,13,2,13,0,2,True,0,13,4,11,13,0,0,0,5,0,0,13,False,0,0,0,13,13,5,24,"{""200"": 13, ""401"": 13, ""403"": 13, ""404"": 13, ""201"": 5}",{}
41,springbatch,4,4,1,4,0,4,True,0,5,0,0,5,0,0,0,1,5,0,4,False,0,0,0,4,5,1,6,"{""200"": 5}",{}
