,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
0,gitlab-issues,21,4,27,27,27,272,126,10.074074074074074,3.814814814814815,2.4471879286694103,0.0,0.09191176470588236,"{""integer"": {""num"": 80, ""format"": []}, ""array"": {""num"": 10, ""format"": []}, ""boolean"": {""num"": 56, ""format"": []}, ""string"": {""num"": 83, ""format"": [""date-time"", ""date""]}, ""object"": {""num"": 6, ""format"": []}}","{""get"": 12, ""post"": 12, ""put"": 2, ""delete"": 1}"
1,bibliothek,8,1,8,7,7,16,5,2.0,5.375,4.234375,0.0,0.0,"{""string"": {""num"": 14, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 8}"
2,google-calendar,22,5,37,37,37,1177,121,31.81081081081081,3.324324324324324,1.08400292184076,0.0,0.08411214953271028,"{""string"": {""num"": 857, ""format"": [""date-time"", ""date""]}, ""boolean"": {""num"": 186, ""format"": []}, ""object"": {""num"": 19, ""format"": []}, ""integer"": {""num"": 50, ""format"": []}, ""array"": {""num"": 4, ""format"": []}}","{""post"": 14, ""get"": 11, ""put"": 4, ""delete"": 4, ""patch"": 4}"
3,gitlab-commit,13,2,15,15,15,150,115,10.0,4.866666666666666,2.9155555555555557,0.0,0.1,"{""boolean"": {""num"": 43, ""format"": []}, ""integer"": {""num"": 9, ""format"": []}, ""string"": {""num"": 73, ""format"": [""date-time""]}, ""array"": {""num"": 1, ""format"": []}, ""object"": {""num"": 6, ""format"": []}, ""number"": {""num"": 1, ""format"": []}}","{""get"": 10, ""post"": 5}"
4,ocvn,129,2,258,230,238,4978,21,19.294573643410853,3.1627906976744184,1.2680728321615287,0.0,0.0799517878666131,"{""array"": {""num"": 3126, ""format"": []}, ""string"": {""num"": 2240, ""format"": [""date-time""]}, ""integer"": {""num"": 1184, ""format"": []}, ""number"": {""num"": 784, ""format"": []}, ""boolean"": {""num"": 582, ""format"": []}}","{""get"": 129, ""post"": 129}"
5,genome-nexus,21,2,23,16,22,51,20,2.217391304347826,2.5217391304347827,0.6843100189035917,0.0,0.1568627450980392,"{""string"": {""num"": 49, ""format"": []}, ""array"": {""num"": 14, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""post"": 10, ""get"": 13}"
6,gitlab-groups,11,4,17,17,17,152,60,8.941176470588236,2.9411764705882355,0.9965397923875431,0.0,0.17763157894736842,"{""integer"": {""num"": 37, ""format"": []}, ""array"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 70, ""format"": []}, ""string"": {""num"": 18, ""format"": [""date""]}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 8, ""post"": 4, ""put"": 2, ""delete"": 3}"
7,Locations,5,1,5,5,5,38,23,7.6,1.6,0.24,0.0,0.23684210526315788,"{""string"": {""num"": 13, ""format"": [""date-time""]}, ""integer"": {""num"": 5, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 5}"
8,proxyprint,79,7,115,43,48,127,47,1.1043478260869566,2.0869565217391304,1.2272211720226842,0.0,0.0,"{""object"": {""num"": 17, ""format"": []}, ""string"": {""num"": 62, ""format"": []}, ""integer"": {""num"": 62, ""format"": []}, ""number"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 3, ""format"": []}}","{""get"": 48, ""options"": 5, ""post"": 30, ""put"": 14, ""delete"": 10, ""head"": 4, ""patch"": 4}"
9,session-service,5,4,8,7,7,22,6,2.75,4.375,1.984375,0.0,0.0,"{""string"": {""num"": 18, ""format"": []}}","{""get"": 4, ""post"": 2, ""put"": 1, ""delete"": 1}"
10,emb-project,40,4,60,29,54,313,28,5.216666666666667,4.05,1.4475,0.08945686900958466,0.0,"{""object"": {""num"": 25, ""format"": []}, ""string"": {""num"": 229, ""format"": []}, ""integer"": {""num"": 64, ""format"": []}, ""boolean"": {""num"": 12, ""format"": []}, ""number"": {""num"": 8, ""format"": []}}","{""get"": 21, ""put"": 12, ""post"": 13, ""delete"": 14}"
11,spotify,8,4,13,12,12,51,22,3.923076923076923,2.4615384615384617,0.5562130177514794,0.0,0.19607843137254902,"{""integer"": {""num"": 10, ""format"": []}, ""string"": {""num"": 19, ""format"": []}, ""object"": {""num"": 6, ""format"": []}, ""array"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}}","{""get"": 7, ""put"": 3, ""post"": 2, ""delete"": 1}"
12,restcountries,22,1,22,21,21,34,13,1.5454545454545454,2.8181818181818183,0.14876033057851237,0.0,0.0,"{""string"": {""num"": 32, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 22}"
13,person,6,4,12,4,8,60,16,5.0,2.5,0.25,0.0,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 40, ""format"": [""date-time""]}, ""integer"": {""num"": 12, ""format"": []}, ""number"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""put"": 2, ""post"": 2, ""get"": 5, ""delete"": 3}"
14,market,10,4,13,11,12,47,17,3.6153846153846154,2.0,0.46153846153846156,0.0,0.0,"{""string"": {""num"": 42, ""format"": []}, ""object"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 7, ""put"": 3, ""delete"": 1, ""post"": 2}"
